,OBJECTID_1,X,Y,Cluster
194,25887,-79.05157699978321,35.903356999730796,First
195,26105,-79.0515670004306,35.9033739998713,First
196,26106,-79.04546300045521,35.905558000362795,First
197,26201,-79.0464660000419,35.90365300040379,First
198,26377,-79.0442610002285,35.9021349998147,First
199,26477,-79.0563170003997,35.964080999758394,Third
200,26603,-79.0011090000584,35.944877999800504,No Cluster
201,26613,-79.052789999705,35.9142819999357,First
202,26624,-79.0585699999617,35.9497150001858,No Cluster
203,26765,-79.0301640002882,35.9276730001105,Second
204,26920,-79.04908300054991,35.9091119995631,First
205,27079,-79.05595799983679,35.9131550001587,First
206,27088,-79.05307699980241,35.908777999887,First
207,27089,-79.05523000032909,35.9021589997896,First
208,27381,-79.05279099985259,35.9142730000057,First
209,27397,-79.05258100012091,35.903694999588794,First
210,27398,-79.052785999978,35.9142599999903,First
211,27463,-79.06082899978,35.8841350003788,No Cluster
212,27587,-79.0591579996339,35.96627999998429,Third
213,27721,-79.0078719995383,35.909008000385604,No Cluster
214,27844,-79.05020500023141,35.9029779998621,First
215,27845,-79.056851000007,35.9019960003824,First
216,27861,-79.0616659994588,35.9120159998598,First
217,27908,-79.0210299999581,35.9324149998529,Second
218,28224,-79.03168800031429,35.9319819995802,Second
219,28234,-79.0487870002695,35.90911000020839,First
220,28280,-79.06163800027109,35.9119759997805,First
221,28625,-79.05854199958641,35.9645639999759,Third
222,28642,-79.0613360002381,35.8854439995691,No Cluster
223,29156,-79.0581900000665,35.9133140004225,First
224,29450,-79.0256730004294,35.907773000025,No Cluster
225,29560,-79.052802000007,35.914286999672,First
226,29653,-79.0554880004561,35.932496000224,No Cluster
227,29702,-79.00885999984591,35.948884000094,No Cluster
228,29778,-79.05560799977741,35.963863000162505,Third
229,29786,-79.02940099947021,35.9295619997774,Second
230,29907,-79.0616699997519,35.9695239997274,Third
231,30092,-79.05635200027871,35.913980000432794,First
232,30096,-79.0592770002215,35.9663789997009,Third
233,30175,-79.0275580002028,35.9271680003516,Second
234,30176,-79.0235619997236,35.9362119999668,Second
235,30181,-79.0538919996598,35.904162000331795,First
236,30186,-79.0487119996304,35.9029540003323,First
237,30477,-79.0546599999369,35.9081060001733,First
238,30551,-79.05463400023301,35.907862000041,First
239,30552,-79.0444199995744,35.9035599996573,First
240,30567,-79.0575740005015,35.9609870003084,Third
241,30639,-79.0491170003672,35.9127200000898,First
242,30874,-79.03009099972941,35.9280469996316,Second
243,31175,-79.0341579996619,35.9293589996013,Second
244,31289,-79.0487689998295,35.909110999739106,First
245,31290,-79.0546129995602,35.90813099995071,First
246,31445,-79.0477730000743,35.91318499988,First
247,31452,-79.0570580002621,35.91383299991021,First
248,31789,-79.0515650000948,35.903385000246395,First
249,31790,-79.04646899974121,35.9099600002381,First
250,31813,-79.0582589996317,35.945083000405205,No Cluster
251,31850,-79.0524030003383,35.90182899974729,First
252,32084,-79.0593529999135,35.966656000357496,Third
253,32182,-79.0558140000318,35.9132820000819,First
254,32373,-79.03417199998141,35.9291749995855,Second
255,32417,-79.0537830004036,35.9627039998425,Third
256,32586,-79.0462930003919,35.9036519999212,First
257,32638,-79.0582219999441,35.9124319996823,First
258,32670,-79.0051809997288,35.9410260002916,No Cluster
259,32737,-79.0584860000297,35.9461729999227,No Cluster
260,32827,-79.0528059999567,35.9142889997322,First
261,32839,-79.0213350005429,35.9066739997346,No Cluster
262,33217,-79.03266499961691,35.9099770000062,No Cluster
263,33347,-79.02338500044391,35.9417460000785,Second
264,33404,-79.05485400039079,35.9300530003899,No Cluster
265,33507,-79.0539190004884,35.9040969998018,First
266,33605,-79.0444359997494,35.903566000129,First
267,33606,-79.0477810001438,35.91320300025579,First
268,33607,-79.0530999997898,35.9087160000262,First
269,33608,-79.04777600033529,35.913197999987105,First
270,33629,-79.05704399969991,35.912631000286204,First
271,33689,-79.0581250001671,35.958866999591706,Third
272,34130,-79.044439000416,35.90382899988,First
273,34226,-79.05623099995809,35.914042000018796,First
274,34386,-79.0601210000374,35.9493889995779,No Cluster
275,34779,-79.05498400004329,35.91347700044221,First
276,34885,-79.0107100000328,35.9024799997614,No Cluster
277,34908,-79.05054199976479,35.9030889997953,First
278,35152,-79.0444300005129,35.903820999568296,First
